t,y1,y2
0.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00
2.512562814070351536e-01,-1.282763015712850674e+00,9.751925286868563525e-01
5.025125628140703071e-01,-1.517494925824239393e+00,9.455619496800762303e-01
7.537688442211054607e-01,-1.681250736129691115e+00,9.124197077898059671e-01
1.005025125628140614e+00,-1.778746830289687386e+00,8.772284919759589794e-01
1.256281407035175768e+00,-1.828826713806313009e+00,8.411625213193342221e-01
1.507537688442210921e+00,-1.849870358339408494e+00,8.049897081760377660e-01
1.758793969849246075e+00,-1.854570273654170487e+00,7.691539470469171969e-01
2.010050251256281229e+00,-1.850441330795563166e+00,7.338935254753353732e-01
2.261306532663316382e+00,-1.841624686895478868e+00,6.993296921861034132e-01
2.512562814070351536e+00,-1.830332400814399962e+00,6.655203751741327611e-01
2.763819095477386689e+00,-1.817733792390765046e+00,6.324899805066911407e-01
3.015075376884421843e+00,-1.804447025256636694e+00,6.002453031521606253e-01
3.266331658291456996e+00,-1.790800616923427180e+00,5.687839064259809785e-01
3.517587939698492150e+00,-1.776970462093770742e+00,5.380985282281625093e-01
3.768844221105527303e+00,-1.763051464554974634e+00,5.081794087080948596e-01
4.020100502512562457e+00,-1.749095144542592850e+00,4.790155293524207547e-01
4.271356783919597611e+00,-1.735129532727633261e+00,4.505952784876680606e-01
4.522613065326632764e+00,-1.721169793296772887e+00,4.229068120200284442e-01
4.773869346733667918e+00,-1.707223953746529466e+00,3.959382506299802262e-01
5.025125628140703071e+00,-1.693296028379272400e+00,3.696777883083340321e-01
5.276381909547738225e+00,-1.679387738377394967e+00,3.441137523435120471e-01
5.527638190954773378e+00,-1.665499469042536429e+00,3.192346364220222665e-01
5.778894472361808532e+00,-1.651630807143482205e+00,2.950291187360007394e-01
6.030150753768843686e+00,-1.637780845045531120e+00,2.714860716367430982e-01
6.281407035175878839e+00,-1.623948353656742505e+00,2.485945665059303977e-01
6.532663316582913993e+00,-1.610131880758974177e+00,2.263438759153175717e-01
6.783919597989949146e+00,-1.596329806349658487e+00,2.047234742596928392e-01
7.035175879396984300e+00,-1.582540372849811527e+00,1.837230375494383894e-01
7.286432160804019453e+00,-1.568761700348084931e+00,1.633324427662048162e-01
7.537688442211054607e+00,-1.554991792716356125e+00,1.435417670233843368e-01
7.788944723618089760e+00,-1.541228537961916834e+00,1.243412866798215138e-01
8.040201005025124914e+00,-1.527469704757148161e+00,1.057214765012523677e-01
8.291457286432159179e+00,-1.513712936256079056e+00,8.767300893279705853e-02
8.542713567839195221e+00,-1.499955741814141152e+00,7.018675352804625012e-02
8.793969849246231263e+00,-1.486195486926665144e+00,5.325377657303755063e-02
9.045226130653265528e+00,-1.472429381532148973e+00,3.686534091952597958e-02
9.296482412060299794e+00,-1.458654466651200021e+00,2.101290610184093632e-02
