t,y1,y2
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01
1.006711409395973089e-01,1.111085932429515033e+00,4.110357408542427704e-01
2.013422818791946178e-01,1.244314303077284967e+00,3.420757624728910651e-01
3.020134228187919545e-01,1.402069122335441120e+00,2.888792687669871628e-01
4.026845637583892357e-01,1.587269743784432086e+00,2.481967063534892548e-01
5.033557046979865168e-01,1.803362042522864250e+00,2.175878249256170682e-01
6.040268456375839090e-01,2.054312268388423401e+00,1.952843987415832372e-01
7.046979865771811902e-01,2.344585985392888094e+00,1.801004437390954505e-01
8.053691275167784713e-01,2.679086588432376459e+00,1.713962579334072645e-01
9.060402684563757525e-01,3.063010626608631437e+00,1.691117530742317909e-01
1.006711409395973034e+00,3.501542737655033655e+00,1.739030545305547126e-01
1.107382550335570315e+00,3.999244785476212538e+00,1.874531561165237725e-01
1.208053691275167818e+00,4.558856999124375697e+00,2.131018274833771931e-01
1.308724832214765099e+00,5.178952356131290458e+00,2.570914091624447728e-01
1.409395973154362380e+00,5.849335070317543739e+00,3.310242613020724090e-01
1.510067114093959662e+00,6.542065117112557004e+00,4.566468341839899914e-01
1.610738255033556943e+00,7.194646688641842758e+00,6.745732345920774087e-01
1.711409395973154224e+00,7.682742915286169705e+00,1.056857308035496157e+00
1.812080536912751505e+00,7.794808611225513495e+00,1.710212139153614919e+00
1.912751677852348786e+00,7.275971027281312509e+00,2.716495556552276813e+00
2.013422818791946067e+00,6.052715015493275175e+00,3.948548697832232612e+00
2.114093959731543571e+00,4.476895893147138317e+00,4.962470078128889739e+00
2.214765100671140630e+00,3.080059307385750955e+00,5.350212417180777003e+00
2.315436241610738133e+00,2.106123678190973791e+00,5.116995760279322347e+00
2.416107382550335636e+00,1.504799702617889201e+00,4.525488893486693698e+00
2.516778523489932695e+00,1.149644238333372037e+00,3.818039909483821326e+00
2.617449664429530198e+00,9.427896471125182254e-01,3.133347959631645807e+00
2.718120805369127257e+00,8.251341468170939608e-01,2.530706456243217328e+00
2.818791946308724761e+00,7.635741610689870118e-01,2.026025576723416766e+00
2.919463087248321820e+00,7.398716485291952916e-01,1.615222950882651443e+00
3.020134228187919323e+00,7.440097424094203049e-01,1.286526462465185316e+00
3.120805369127516382e+00,7.705927829842040833e-01,1.026337909475920185e+00
3.221476510067113885e+00,8.169329986285347456e-01,8.217929127499293829e-01
3.322147651006711389e+00,8.820262074343642178e-01,6.617161524028656316e-01
3.422818791946308448e+00,9.659964412022254976e-01,5.368309860118981591e-01
3.523489932885905951e+00,1.069793172977226980e+00,4.396462212631904176e-01
3.624161073825503010e+00,1.195028547791345153e+00,3.642242814180041144e-01
3.724832214765100513e+00,1.343894242183619525e+00,3.059267366840300872e-01
3.825503355704697572e+00,1.519123843612121050e+00,2.611800008635252190e-01
3.926174496644295075e+00,1.723979453477537449e+00,2.272785235388993241e-01
4.026845637583892135e+00,1.962246395654225983e+00,2.022315951396164158e-01
4.127516778523490082e+00,2.238219722207141604e+00,1.846565010123540351e-01
4.228187919463087141e+00,2.556660600778422943e+00,1.737225770490419263e-01
4.328859060402684200e+00,2.922687279180835151e+00,1.691576390489989701e-01
4.429530201342281259e+00,3.341538211641622791e+00,1.713428111989647173e-01
4.530201342281879207e+00,3.818091293784293239e+00,1.815506727106419305e-01
4.630872483221476266e+00,4.355916086631459017e+00,2.024397022685518188e-01
4.731543624161073325e+00,4.955419736693911226e+00,2.390361915151074657e-01
4.832214765100671272e+00,5.610212771597295145e+00,3.006722574239754642e-01
4.932885906040268331e+00,6.299990679201616040e+00,4.047884269793301515e-01
5.033557046979865390e+00,6.976919480031112286e+00,5.841005572014767999e-01
5.134228187919462449e+00,7.541930678457425152e+00,8.982284529478906654e-01
5.234899328859060397e+00,7.814941041381298525e+00,1.443549374747141290e+00
