t,y1,y2,y3
1.000000000000000082e-05,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.599858719606057233e-05,9.999997600565408984e-01,2.399400295491305225e-07,3.429502851290376620e-12
2.559547922699533128e-05,9.999993761810255233e-01,6.237582812009783988e-07,6.069330427360008843e-11
4.094915062380427237e-05,9.999987620347413619e-01,1.237491155994081897e-06,4.741026432722173366e-10
6.551285568595509496e-05,9.999977794882385362e-01,2.217778645492483278e-06,2.733115932343989594e-09
1.048113134154685284e-04,9.999962075546643403e-01,3.778867414913327356e-06,1.357792063476487621e-08
1.676832936811008278e-04,9.999936926882666555e-01,6.245321449901937978e-06,6.199028332354426729e-08
2.682695795279727187e-04,9.999896692715923852e-01,1.006364047885361626e-05,2.670879285363941945e-07
4.291934260128778288e-04,9.999832324184357857e-01,1.568059797288680549e-05,1.086983591101496159e-06
6.866488450042998112e-04,9.999729345523156177e-01,2.299987346064195408e-05,4.065574223647082212e-06
1.098541141987558400e-03,9.999564603818361652e-01,3.035462984842424804e-05,1.318498831530923144e-05
1.757510624854793013e-03,9.999301082994820344e-01,3.495654492135923813e-05,3.493515559657606623e-05
2.811768697974231009e-03,9.998879626989507496e-01,3.634614706223369539e-05,7.569115398724014538e-05
4.498432668969444201e-03,9.998205731780901440e-01,3.648719608025252382e-05,1.429396258297017496e-04
7.196856730011521458e-03,9.997128551372235217e-01,3.647119449006898492e-05,2.506736682865600189e-04
1.151395399326448146e-02,9.995407656705928012e-01,3.643941187537136849e-05,4.227949175319954136e-04
1.842069969326716461e-02,9.992660695955656314e-01,3.638870849914922588e-05,6.975416959353516458e-04
2.947051702551809621e-02,9.988281796228186682e-01,3.630800033800047992e-05,1.135512376843360099e-03
4.714866363457394238e-02,9.981316376276245794e-01,3.617991745598662327e-05,1.832182454919464853e-03
7.543120063354623317e-02,9.970274110535674028e-01,3.597761817188250926e-05,2.936611328260714179e-03
1.206792640639328951e-01,9.952861767129171922e-01,3.566048850968172251e-05,4.678162798573162924e-03
1.930697728883249698e-01,9.925630863358289036e-01,3.516913868621288568e-05,7.401744525484890876e-03
3.088843596477484632e-01,9.883580447436912664e-01,3.442145726853532763e-05,1.160753379904029027e-02
4.941713361323838427e-01,9.819859449018184527e-01,3.331416503073736661e-05,1.798074093315079475e-02
7.906043210907701679e-01,9.725880638566226644e-01,3.173778655234618147e-05,2.738019835682516459e-02
1.264855216855295783e+00,9.592282648496274211e-01,2.961314751889055865e-05,4.074212200285379920e-02
2.023589647725155594e+00,9.410945822518267390e-01,2.694547372200417328e-05,5.887847227445149739e-02
3.237457542817646416e+00,9.177401859615089696e-01,2.386498389138198254e-05,8.223594905459974402e-02
5.179474679231212519e+00,8.892044558876683880e-01,2.060813951204104580e-05,1.107749359728196215e-01
8.286427728546842175e+00,8.559031067785889402e-01,1.743390613956112163e-05,1.440794593152716907e-01
1.325711365590110802e+01,8.183731349185839887e-01,1.453500873351991473e-05,1.816123300726826817e-01
2.120950887920192685e+01,7.770659606121737006e-01,1.200414626576337869e-05,2.229220352415610118e-01
3.393221771895329653e+01,7.322857752244104068e-01,9.853671469178431664e-06,2.677043711041213192e-01
5.428675439323859564e+01,6.842391061322968815e-01,8.052046335365281471e-06,3.157528418213683685e-01
8.685113737513520960e+01,6.331269630704686735e-01,6.552039088761981130e-06,3.668664848904434339e-01
1.389495494373138911e+02,5.792371906261181147e-01,5.305890138745432091e-06,4.207575034837436889e-01
2.222996482526195621e+02,5.230211346236131043e-01,4.271403152991198681e-06,4.769745939732346618e-01
3.556480306223128309e+02,4.651489757663214708e-01,3.413388540359603330e-06,5.348476108451392097e-01
5.689866029018304516e+02,4.065381427080925758e-01,2.703187133775325709e-06,5.934591541047746777e-01
9.102981779915227207e+02,3.483464285454105358e-01,2.117594024436056992e-06,6.516514538605661100e-01
1.456348477501244361e+03,2.919203669092225173e-01,1.637722306503358041e-06,7.080779953684723793e-01
2.329951810515372017e+03,2.386930830762184486e-01,1.247987483459549224e-06,7.613056689362999174e-01
3.727593720314937855e+03,1.900360909970506551e-01,9.352529806895859045e-07,8.099629737499706161e-01
5.963623316594636890e+03,1.470857605866445483e-01,6.881382602546270054e-07,8.529135512750970483e-01
9.540954763499963519e+03,1.105823396926889635e-01,4.964935050274668199e-07,8.894171638138083091e-01
1.526417967175236481e+04,8.076768355235530716e-02,3.510550428781888136e-07,9.192319653926043221e-01
2.442053094548654917e+04,5.737734040564787530e-02,2.432912548547624400e-07,9.426224163031001746e-01
3.906939937054621259e+04,3.973233391467560077e-02,1.654197864522884619e-07,9.602675006655410073e-01
6.250551925273975939e+04,2.689933064715405164e-02,1.105339715324323008e-07,9.731005588188774702e-01
1.000000000000000000e+05,1.786592114387080057e-02,7.274751469170512528e-08,9.821340061086176743e-01
