t,y1,y2
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
1.003344481605351196e-01,1.995420233492123607e+00,-6.351197311236249365e-02
2.006688963210702392e-01,1.988804440146340946e+00,-6.700123729346421642e-02
3.010033444816053727e-01,1.982051465891816910e+00,-6.754085440793870798e-02
4.013377926421404784e-01,1.975254728275381177e+00,-6.793846344786196034e-02
5.016722408026755842e-01,1.968418285710087590e+00,-6.833567984406464790e-02
6.020066889632107454e-01,1.961541640524703700e+00,-6.874005210587848247e-02
7.023411371237457956e-01,1.954624034578569480e+00,-6.915221575813391974e-02
8.026755852842809569e-01,1.947664671779129497e+00,-6.957245056353258961e-02
9.030100334448161181e-01,1.940662728703973716e+00,-7.000102846292291514e-02
1.003344481605351168e+00,1.933617354144618439e+00,-7.043823317508562942e-02
1.103678929765886219e+00,1.926527667739984961e+00,-7.088436206528454797e-02
1.204013377926421491e+00,1.919392758563250201e+00,-7.133972706978712608e-02
1.304347826086956541e+00,1.912211683616546143e+00,-7.180465562999427398e-02
1.404682274247491591e+00,1.904983466233442835e+00,-7.227949169172080690e-02
1.505016722408026864e+00,1.897707094365596481e+00,-7.276459678936467168e-02
1.605351170568561914e+00,1.890381518759630897e+00,-7.326035121748970813e-02
1.705685618729096964e+00,1.883005651011269599e+00,-7.376715529895903900e-02
1.806020066889632236e+00,1.875578361487953316e+00,-7.428543075854956990e-02
1.906354515050167286e+00,1.868098477108001587e+00,-7.481562221301880922e-02
2.006688963210702337e+00,1.860564778963647914e+00,-7.535819878966315555e-02
2.107023411371237387e+00,1.852975999774477023e+00,-7.591365588657726649e-02
2.207357859531772437e+00,1.845330821156940138e+00,-7.648251708909736823e-02
2.307692307692307931e+00,1.837627870694725329e+00,-7.706533625829761758e-02
2.408026755852842982e+00,1.829865718786264139e+00,-7.766269981319159910e-02
2.508361204013378032e+00,1.822042875262252837e+00,-7.827522922215018886e-02
2.608695652173913082e+00,1.814157785709480830e+00,-7.890358374534454933e-02
2.709030100334448132e+00,1.806208827561329500e+00,-7.954846341222644723e-02
2.809364548494983183e+00,1.798194305840409291e+00,-8.021061231398941838e-02
2.909698996655518677e+00,1.790112448524827871e+00,-8.089082223702716290e-02
3.010033444816053727e+00,1.781961401626042774e+00,-8.158993661359223437e-02
3.110367892976588777e+00,1.773739223722024194e+00,-8.230885495812365060e-02
3.210702341137123828e+00,1.765443880155645795e+00,-8.304853768895253951e-02
3.311036789297658878e+00,1.757073236606796707e+00,-8.381001154000976283e-02
3.411371237458193928e+00,1.748625052169890504e+00,-8.459437552042825548e-02
3.511705685618728978e+00,1.740096971777029378e+00,-8.540280754933333995e-02
3.612040133779264472e+00,1.731486517907753209e+00,-8.623657185657397639e-02
3.712374581939799523e+00,1.722791081519876144e+00,-8.709702723966561422e-02
3.812709030100334573e+00,1.714007912112364362e+00,-8.798563629405529996e-02
3.913043478260869623e+00,1.705134106802620009e+00,-8.890397576475342345e-02
4.013377926421404673e+00,1.696166598301929396e+00,-8.985374817981811590e-02
4.113712374581940168e+00,1.687102141644159614e+00,-9.083679496142491039e-02
4.214046822742474774e+00,1.677937299521644388e+00,-9.185511122888043167e-02
4.314381270903010268e+00,1.668668426052567932e+00,-9.291086255015897077e-02
4.414715719063544874e+00,1.659291648740143676e+00,-9.400640397844328700e-02
4.515050167224080369e+00,1.649802848382955212e+00,-9.514430173396377921e-02
4.615384615384615863e+00,1.640197636695574612e+00,-9.632735794220081971e-02
4.715719063545150469e+00,1.630471331238949828e+00,-9.755863900018527102e-02
4.816053511705685963e+00,1.620618927299683598e+00,-9.884150818658032911e-02
4.916387959866220569e+00,1.610635066274893834e+00,-1.001796632543730664e-01
5.016722408026756064e+00,1.600513999977011270e+00,-1.015771799673519660e-01
5.117056856187290670e+00,1.590249550233304277e+00,-1.030385626843777352e-01
5.217391304347826164e+00,1.579835063002890561e+00,-1.045688033705941267e-01
5.317725752508361658e+00,1.569263356062466253e+00,-1.061734507479141915e-01
5.418060200668896265e+00,1.558526659203282705e+00,-1.078586916205945545e-01
5.518394648829431759e+00,1.547616545491934614e+00,-1.096314470762349141e-01
5.618729096989966365e+00,1.536523852049017203e+00,-1.114994867211436397e-01
5.719063545150501859e+00,1.525238588268439832e+00,-1.134715651197737429e-01
5.819397993311037354e+00,1.513749829036822536e+00,-1.155575856051090505e-01
5.919732441471571960e+00,1.502045589840050654e+00,-1.177687981611444945e-01
6.020066889632107454e+00,1.490112680017807500e+00,-1.201180398207716271e-01
6.120401337792642060e+00,1.477936529244427533e+00,-1.226200288252449477e-01
6.220735785953177555e+00,1.465500981266149028e+00,-1.252917269180587601e-01
